tracking_no,waybill,order_id,status,carrier,weight,shipping_fee,goods_value,promised_days,actual_days,date,update_time
SF2026000000,SF2026000000,ORD-20260000,丢件,顺丰,0.5,15,99.9,5,0,2026-08-08,2026-08-13
YT2026000001,YT2026000001,ORD-20260001,已签收,圆通,0.8,20,299.8,5,3,2026-08-07,2026-08-10
ZT2026000002,ZT2026000002,ORD-20260002,已签收,中通,1.1,25,599.7,5,3,2026-08-06,2026-08-09
JD2026000003,JD2026000003,ORD-20260003,已签收,京东,1.4,30,249.9,5,3,2026-08-05,2026-08-08
UP2026000004,UP2026000004,ORD-20260004,已签收,UPS,1.7,35,599.8,5,3,2026-08-04,2026-08-07
SF2026000005,SF2026000005,ORD-20260005,已签收,顺丰,2.0,15,299.70000000000005,5,3,2026-08-03,2026-08-06
YT2026000006,YT2026000006,ORD-20260006,已签收,圆通,2.3,20,149.9,5,3,2026-08-02,2026-08-05
ZT2026000007,ZT2026000007,ORD-20260007,已签收,中通,2.6,25,399.8,5,3,2026-08-01,2026-08-04
JD2026000008,JD2026000008,ORD-20260008,已签收,京东,2.9,30,749.7,5,3,2026-07-31,2026-08-03
UP2026000009,UP2026000009,ORD-20260009,已签收,UPS,3.2,35,299.9,5,3,2026-07-30,2026-08-02
SF2026000010,SF2026000010,ORD-20260010,已签收,顺丰,0.5,15,199.8,5,3,2026-07-29,2026-08-01
YT2026000011,YT2026000011,ORD-20260011,已签收,圆通,0.8,20,449.70000000000005,5,3,2026-07-28,2026-07-31
ZT2026000012,ZT2026000012,ORD-20260012,已签收,中通,1.1,25,199.9,5,3,2026-07-27,2026-07-30
JD2026000013,JD2026000013,ORD-20260013,已签收,京东,1.4,30,499.8,5,3,2026-07-26,2026-07-29
UP2026000014,UP2026000014,ORD-20260014,已签收,UPS,1.7,35,899.6999999999999,5,3,2026-07-25,2026-07-28
SF2026000015,SF2026000015,ORD-20260015,已签收,顺丰,2.0,15,99.9,5,3,2026-07-24,2026-07-27
YT2026000016,YT2026000016,ORD-20260016,已签收,圆通,2.3,20,299.8,5,3,2026-07-23,2026-07-26
ZT2026000017,ZT2026000017,ORD-20260017,已签收,中通,2.6,25,599.7,5,3,2026-07-22,2026-07-25
JD2026000018,JD2026000018,ORD-20260018,已签收,京东,2.9,30,249.9,5,3,2026-07-21,2026-07-24
UP2026000019,UP2026000019,ORD-20260019,已签收,UPS,3.2,35,599.8,5,3,2026-07-20,2026-07-23
SF2026000020,SF2026000020,ORD-20260020,丢件,顺丰,0.5,15,299.70000000000005,5,0,2026-07-19,2026-07-24
YT2026000021,YT2026000021,ORD-20260021,已签收,圆通,0.8,20,149.9,5,3,2026-07-18,2026-07-21
ZT2026000022,ZT2026000022,ORD-20260022,已签收,中通,1.1,25,399.8,5,3,2026-07-17,2026-07-20
JD2026000023,JD2026000023,ORD-20260023,已签收,京东,1.4,30,749.7,5,3,2026-07-16,2026-07-19
UP2026000024,UP2026000024,ORD-20260024,已签收,UPS,1.7,35,299.9,5,3,2026-07-15,2026-07-18
SF2026000025,SF2026000025,ORD-20260025,延误,顺丰,2.0,15,199.8,5,12,2026-07-14,2026-07-26
YT2026000026,YT2026000026,ORD-20260026,已签收,圆通,2.3,20,449.70000000000005,5,3,2026-07-13,2026-07-16
ZT2026000027,ZT2026000027,ORD-20260027,已签收,中通,2.6,25,199.9,5,3,2026-07-12,2026-07-15
JD2026000028,JD2026000028,ORD-20260028,已签收,京东,2.9,30,499.8,5,3,2026-07-11,2026-07-14
UP2026000029,UP2026000029,ORD-20260029,已签收,UPS,3.2,35,899.6999999999999,5,3,2026-07-10,2026-07-13
SF2026000030,SF2026000030,ORD-20260030,已签收,顺丰,0.5,15,99.9,5,3,2026-08-08,2026-08-11
YT2026000031,YT2026000031,ORD-20260031,已签收,圆通,0.8,20,299.8,5,3,2026-08-07,2026-08-10
ZT2026000032,ZT2026000032,ORD-20260032,已签收,中通,1.1,25,599.7,5,3,2026-08-06,2026-08-09
JD2026000033,JD2026000033,ORD-20260033,已签收,京东,1.4,30,249.9,5,3,2026-08-05,2026-08-08
UP2026000034,UP2026000034,ORD-20260034,已签收,UPS,1.7,35,599.8,5,3,2026-08-04,2026-08-07
SF2026000035,SF2026000035,ORD-20260035,已签收,顺丰,2.0,15,299.70000000000005,5,3,2026-08-03,2026-08-06
YT2026000036,YT2026000036,ORD-20260036,已签收,圆通,2.3,20,149.9,5,3,2026-08-02,2026-08-05
ZT2026000037,ZT2026000037,ORD-20260037,已签收,中通,2.6,25,399.8,5,3,2026-08-01,2026-08-04
JD2026000038,JD2026000038,ORD-20260038,已签收,京东,2.9,30,749.7,5,3,2026-07-31,2026-08-03
UP2026000039,UP2026000039,ORD-20260039,已签收,UPS,3.2,35,299.9,5,3,2026-07-30,2026-08-02
