order_id,order_no,product,quantity,unit_price,total_amount,platform,date,status,customer
ORD-20260000,ORD-20260000,Product-0,1,99.9,99.9,Amazon,2026-08-08,completed,Customer-0
ORD-20260001,ORD-20260001,Product-1,2,149.9,299.8,eBay,2026-08-07,completed,Customer-1
ORD-20260002,ORD-20260002,Product-2,3,199.9,599.7,Shopify,2026-08-06,completed,Customer-2
ORD-20260003,ORD-20260003,Product-3,1,249.9,249.9,Shopee,2026-08-05,completed,Customer-3
ORD-20260004,ORD-20260004,Product-4,2,299.9,599.8,Amazon,2026-08-04,completed,Customer-4
ORD-20260005,ORD-20260005,Product-5,3,99.9,299.70000000000005,eBay,2026-08-03,completed,Customer-5
ORD-20260006,ORD-20260006,Product-6,1,149.9,149.9,Shopify,2026-08-02,completed,Customer-6
ORD-20260007,ORD-20260007,Product-7,2,199.9,399.8,Shopee,2026-08-01,completed,Customer-7
ORD-20260008,ORD-20260008,Product-8,3,249.9,749.7,Amazon,2026-07-31,completed,Customer-8
ORD-20260009,ORD-20260009,Product-9,1,299.9,299.9,eBay,2026-07-30,completed,Customer-9
ORD-20260010,ORD-20260010,Product-0,2,99.9,199.8,Shopify,2026-07-29,completed,Customer-10
ORD-20260011,ORD-20260011,Product-1,3,149.9,449.70000000000005,Shopee,2026-07-28,completed,Customer-11
ORD-20260012,ORD-20260012,Product-2,1,199.9,199.9,Amazon,2026-07-27,completed,Customer-12
ORD-20260013,ORD-20260013,Product-3,2,249.9,499.8,eBay,2026-07-26,completed,Customer-13
ORD-20260014,ORD-20260014,Product-4,3,299.9,899.6999999999999,Shopify,2026-07-25,completed,Customer-14
ORD-20260015,ORD-20260015,Product-5,1,99.9,99.9,Shopee,2026-07-24,completed,Customer-15
ORD-20260016,ORD-20260016,Product-6,2,149.9,299.8,Amazon,2026-07-23,completed,Customer-16
ORD-20260017,ORD-20260017,Product-7,3,199.9,599.7,eBay,2026-07-22,completed,Customer-17
ORD-20260018,ORD-20260018,Product-8,1,249.9,249.9,Shopify,2026-07-21,completed,Customer-18
ORD-20260019,ORD-20260019,Product-9,2,299.9,599.8,Shopee,2026-07-20,completed,Customer-19
ORD-20260020,ORD-20260020,Product-0,3,99.9,299.70000000000005,Amazon,2026-07-19,completed,Customer-0
ORD-20260021,ORD-20260021,Product-1,1,149.9,149.9,eBay,2026-07-18,completed,Customer-1
ORD-20260022,ORD-20260022,Product-2,2,199.9,399.8,Shopify,2026-07-17,completed,Customer-2
ORD-20260023,ORD-20260023,Product-3,3,249.9,749.7,Shopee,2026-07-16,completed,Customer-3
ORD-20260024,ORD-20260024,Product-4,1,299.9,299.9,Amazon,2026-07-15,completed,Customer-4
ORD-20260025,ORD-20260025,Product-5,2,99.9,199.8,eBay,2026-07-14,completed,Customer-5
ORD-20260026,ORD-20260026,Product-6,3,149.9,449.70000000000005,Shopify,2026-07-13,completed,Customer-6
ORD-20260027,ORD-20260027,Product-7,1,199.9,199.9,Shopee,2026-07-12,completed,Customer-7
ORD-20260028,ORD-20260028,Product-8,2,249.9,499.8,Amazon,2026-07-11,completed,Customer-8
ORD-20260029,ORD-20260029,Product-9,3,299.9,899.6999999999999,eBay,2026-07-10,completed,Customer-9
ORD-20260030,ORD-20260030,Product-0,1,99.9,99.9,Shopify,2026-08-08,completed,Customer-10
ORD-20260031,ORD-20260031,Product-1,2,149.9,299.8,Shopee,2026-08-07,completed,Customer-11
ORD-20260032,ORD-20260032,Product-2,3,199.9,599.7,Amazon,2026-08-06,completed,Customer-12
ORD-20260033,ORD-20260033,Product-3,1,249.9,249.9,eBay,2026-08-05,completed,Customer-13
ORD-20260034,ORD-20260034,Product-4,2,299.9,599.8,Shopify,2026-08-04,completed,Customer-14
ORD-20260035,ORD-20260035,Product-5,3,99.9,299.70000000000005,Shopee,2026-08-03,completed,Customer-15
ORD-20260036,ORD-20260036,Product-6,1,149.9,149.9,Amazon,2026-08-02,completed,Customer-16
ORD-20260037,ORD-20260037,Product-7,2,199.9,399.8,eBay,2026-08-01,completed,Customer-17
ORD-20260038,ORD-20260038,Product-8,3,249.9,749.7,Shopify,2026-07-31,completed,Customer-18
ORD-20260039,ORD-20260039,Product-9,1,299.9,299.9,Shopee,2026-07-30,completed,Customer-19
ORD-20260040,ORD-20260040,Product-0,2,99.9,199.8,Amazon,2026-07-29,completed,Customer-0
ORD-20260041,ORD-20260041,Product-1,3,149.9,449.70000000000005,eBay,2026-07-28,completed,Customer-1
ORD-20260042,ORD-20260042,Product-2,1,199.9,199.9,Shopify,2026-07-27,completed,Customer-2
ORD-20260043,ORD-20260043,Product-3,2,249.9,499.8,Shopee,2026-07-26,completed,Customer-3
ORD-20260044,ORD-20260044,Product-4,3,299.9,899.6999999999999,Amazon,2026-07-25,completed,Customer-4
ORD-20260045,ORD-20260045,Product-5,1,99.9,99.9,eBay,2026-07-24,completed,Customer-5
ORD-20260046,ORD-20260046,Product-6,2,149.9,299.8,Shopify,2026-07-23,completed,Customer-6
ORD-20260047,ORD-20260047,Product-7,3,199.9,599.7,Shopee,2026-07-22,completed,Customer-7
ORD-20260048,ORD-20260048,Product-8,1,249.9,249.9,Amazon,2026-07-21,completed,Customer-8
ORD-20260049,ORD-20260049,Product-9,2,299.9,599.8,eBay,2026-07-20,completed,Customer-9
ORD-20260050,ORD-20260050,Product-0,3,99.9,299.70000000000005,Shopify,2026-07-19,completed,Customer-10
ORD-20260051,ORD-20260051,Product-1,1,149.9,149.9,Shopee,2026-07-18,completed,Customer-11
ORD-20260052,ORD-20260052,Product-2,2,199.9,399.8,Amazon,2026-07-17,completed,Customer-12
ORD-20260053,ORD-20260053,Product-3,3,249.9,749.7,eBay,2026-07-16,completed,Customer-13
ORD-20260054,ORD-20260054,Product-4,1,299.9,299.9,Shopify,2026-07-15,completed,Customer-14
ORD-20260055,ORD-20260055,Product-5,2,99.9,199.8,Shopee,2026-07-14,completed,Customer-15
ORD-20260056,ORD-20260056,Product-6,3,149.9,449.70000000000005,Amazon,2026-07-13,completed,Customer-16
ORD-20260057,ORD-20260057,Product-7,1,199.9,199.9,eBay,2026-07-12,completed,Customer-17
ORD-20260058,ORD-20260058,Product-8,2,249.9,499.8,Shopify,2026-07-11,completed,Customer-18
ORD-20260059,ORD-20260059,Product-9,3,299.9,899.6999999999999,Shopee,2026-07-10,completed,Customer-19
ORD-20260060,ORD-20260060,Product-0,1,99.9,99.9,Amazon,2026-08-08,completed,Customer-0
ORD-20260061,ORD-20260061,Product-1,2,149.9,299.8,eBay,2026-08-07,completed,Customer-1
ORD-20260062,ORD-20260062,Product-2,3,199.9,599.7,Shopify,2026-08-06,completed,Customer-2
ORD-20260063,ORD-20260063,Product-3,1,249.9,249.9,Shopee,2026-08-05,completed,Customer-3
ORD-20260064,ORD-20260064,Product-4,2,299.9,599.8,Amazon,2026-08-04,completed,Customer-4
ORD-20260065,ORD-20260065,Product-5,3,99.9,299.70000000000005,eBay,2026-08-03,completed,Customer-5
ORD-20260066,ORD-20260066,Product-6,1,149.9,149.9,Shopify,2026-08-02,completed,Customer-6
ORD-20260067,ORD-20260067,Product-7,2,199.9,399.8,Shopee,2026-08-01,completed,Customer-7
ORD-20260068,ORD-20260068,Product-8,3,249.9,749.7,Amazon,2026-07-31,completed,Customer-8
ORD-20260069,ORD-20260069,Product-9,1,299.9,299.9,eBay,2026-07-30,completed,Customer-9
ORD-20260070,ORD-20260070,Product-0,2,99.9,199.8,Shopify,2026-07-29,completed,Customer-10
ORD-20260071,ORD-20260071,Product-1,3,149.9,449.70000000000005,Shopee,2026-07-28,completed,Customer-11
ORD-20260072,ORD-20260072,Product-2,1,199.9,199.9,Amazon,2026-07-27,completed,Customer-12
ORD-20260073,ORD-20260073,Product-3,2,249.9,499.8,eBay,2026-07-26,completed,Customer-13
ORD-20260074,ORD-20260074,Product-4,3,299.9,899.6999999999999,Shopify,2026-07-25,completed,Customer-14
ORD-20260075,ORD-20260075,Product-5,1,99.9,99.9,Shopee,2026-07-24,completed,Customer-15
ORD-20260076,ORD-20260076,Product-6,2,149.9,299.8,Amazon,2026-07-23,completed,Customer-16
ORD-20260077,ORD-20260077,Product-7,3,199.9,599.7,eBay,2026-07-22,completed,Customer-17
ORD-20260078,ORD-20260078,Product-8,1,249.9,249.9,Shopify,2026-07-21,completed,Customer-18
ORD-20260079,ORD-20260079,Product-9,2,299.9,599.8,Shopee,2026-07-20,completed,Customer-19
ORD-20260080,ORD-20260080,Product-0,3,99.9,299.70000000000005,Amazon,2026-07-19,completed,Customer-0
ORD-20260081,ORD-20260081,Product-1,1,149.9,149.9,eBay,2026-07-18,completed,Customer-1
ORD-20260082,ORD-20260082,Product-2,2,199.9,399.8,Shopify,2026-07-17,completed,Customer-2
ORD-20260083,ORD-20260083,Product-3,3,249.9,749.7,Shopee,2026-07-16,completed,Customer-3
ORD-20260084,ORD-20260084,Product-4,1,299.9,299.9,Amazon,2026-07-15,completed,Customer-4
ORD-20260085,ORD-20260085,Product-5,2,99.9,199.8,eBay,2026-07-14,completed,Customer-5
ORD-20260086,ORD-20260086,Product-6,3,149.9,449.70000000000005,Shopify,2026-07-13,completed,Customer-6
ORD-20260087,ORD-20260087,Product-7,1,199.9,199.9,Shopee,2026-07-12,completed,Customer-7
ORD-20260088,ORD-20260088,Product-8,2,249.9,499.8,Amazon,2026-07-11,completed,Customer-8
ORD-20260089,ORD-20260089,Product-9,3,299.9,899.6999999999999,eBay,2026-07-10,completed,Customer-9
ORD-20260090,ORD-20260090,Product-0,1,99.9,99.9,Shopify,2026-08-08,completed,Customer-10
ORD-20260091,ORD-20260091,Product-1,2,149.9,299.8,Shopee,2026-08-07,completed,Customer-11
ORD-20260092,ORD-20260092,Product-2,3,199.9,599.7,Amazon,2026-08-06,completed,Customer-12
ORD-20260093,ORD-20260093,Product-3,1,249.9,249.9,eBay,2026-08-05,completed,Customer-13
ORD-20260094,ORD-20260094,Product-4,2,299.9,599.8,Shopify,2026-08-04,completed,Customer-14
ORD-20260095,ORD-20260095,Product-5,3,99.9,299.70000000000005,Shopee,2026-08-03,completed,Customer-15
ORD-20260096,ORD-20260096,Product-6,1,149.9,149.9,Amazon,2026-08-02,completed,Customer-16
ORD-20260097,ORD-20260097,Product-7,2,199.9,399.8,eBay,2026-08-01,completed,Customer-17
ORD-20260098,ORD-20260098,Product-8,3,249.9,749.7,Shopify,2026-07-31,completed,Customer-18
ORD-20260099,ORD-20260099,Product-9,1,299.9,299.9,Shopee,2026-07-30,completed,Customer-19
