refund_id,order_id,order_no,amount,refund_amount,reason,status,refund_time,complete_time,platform
RFD-20260000,ORD-20260000,ORD-20260000,50,50,质量问题,completed,2026-08-08 11:04,2026-08-08 11:04,Amazon
RFD-20260001,ORD-20260007,ORD-20260007,80,80,未收到,completed,2026-08-06 11:04,2026-08-06 11:04,eBay
RFD-20260002,ORD-20260014,ORD-20260014,110,110,买错,completed,2026-08-04 11:04,2026-08-04 11:04,Shopify
RFD-20260003,ORD-20260021,ORD-20260021,140,140,发货慢,completed,2026-08-02 11:04,2026-08-02 11:04,Amazon
RFD-20260004,ORD-20260028,ORD-20260028,170,170,其他,completed,2026-07-31 11:04,2026-07-31 11:04,eBay
RFD-20260005,ORD-20260035,ORD-20260035,200,200,质量问题,completed,2026-07-29 11:04,2026-07-29 11:04,Shopify
RFD-20260006,ORD-20260042,ORD-20260042,230,230,未收到,completed,2026-07-27 11:04,2026-07-27 11:04,Amazon
RFD-20260007,ORD-20260049,ORD-20260049,260,260,买错,completed,2026-07-25 11:04,2026-07-25 11:04,eBay
RFD-20260008,ORD-20260056,ORD-20260056,290,290,发货慢,completed,2026-07-23 11:04,2026-07-23 11:04,Shopify
RFD-20260009,ORD-20260063,ORD-20260063,320,320,其他,completed,2026-07-21 11:04,2026-07-21 11:04,Amazon
RFD-20260010,ORD-20260070,ORD-20260070,350,350,质量问题,completed,2026-07-19 11:04,2026-07-19 11:04,eBay
RFD-20260011,ORD-20260077,ORD-20260077,380,380,未收到,completed,2026-07-17 11:04,2026-07-17 11:04,Shopify
RFD-20260012,ORD-20260084,ORD-20260084,410,410,买错,completed,2026-07-15 11:04,2026-07-15 11:04,Amazon
RFD-20260013,ORD-20260091,ORD-20260091,440,440,发货慢,completed,2026-07-13 11:04,2026-07-13 11:04,eBay
RFD-20260014,ORD-20260098,ORD-20260098,470,470,其他,completed,2026-07-11 11:04,2026-07-11 11:04,Shopify
