settlement_id,order_id,order_no,amount,expected_amount,fee,type,date,status,platform
STL-20260000,ORD-20260000,ORD-20260000,94.91,99.9,4.75,settlement,2026-08-08,completed,Amazon
STL-20260001,ORD-20260001,ORD-20260001,299.8,299.8,14.99,settlement,2026-08-07,completed,eBay
STL-20260002,ORD-20260002,ORD-20260002,599.7,599.7,29.99,settlement,2026-08-06,completed,Shopify
STL-20260003,ORD-20260003,ORD-20260003,249.9,249.9,12.5,settlement,2026-08-05,completed,Shopee
STL-20260004,ORD-20260004,ORD-20260004,599.8,599.8,29.99,settlement,2026-08-04,completed,Amazon
STL-20260005,ORD-20260005,ORD-20260005,299.7,299.7,14.99,settlement,2026-08-03,completed,eBay
STL-20260006,ORD-20260006,ORD-20260006,149.9,149.9,7.5,settlement,2026-08-02,completed,Shopify
STL-20260007,ORD-20260007,ORD-20260007,399.8,399.8,19.99,settlement,2026-08-01,completed,Shopee
STL-20260008,ORD-20260008,ORD-20260008,749.7,749.7,37.49,settlement,2026-07-31,completed,Amazon
STL-20260009,ORD-20260009,ORD-20260009,299.9,299.9,14.99,settlement,2026-07-30,completed,eBay
STL-20260010,ORD-20260010,ORD-20260010,199.8,199.8,9.99,settlement,2026-07-29,completed,Shopify
STL-20260011,ORD-20260011,ORD-20260011,449.7,449.7,22.49,settlement,2026-07-28,completed,Shopee
STL-20260012,ORD-20260012,ORD-20260012,199.9,199.9,10.0,settlement,2026-07-27,completed,Amazon
STL-20260013,ORD-20260013,ORD-20260013,499.8,499.8,24.99,settlement,2026-07-26,completed,eBay
STL-20260014,ORD-20260014,ORD-20260014,899.7,899.7,44.98,settlement,2026-07-25,completed,Shopify
STL-20260015,ORD-20260015,ORD-20260015,94.91,99.9,4.75,settlement,2026-07-24,completed,Shopee
STL-20260016,ORD-20260016,ORD-20260016,299.8,299.8,14.99,settlement,2026-07-23,completed,Amazon
STL-20260017,ORD-20260017,ORD-20260017,599.7,599.7,29.99,settlement,2026-07-22,completed,eBay
STL-20260018,ORD-20260018,ORD-20260018,249.9,249.9,12.5,settlement,2026-07-21,completed,Shopify
STL-20260019,ORD-20260019,ORD-20260019,599.8,599.8,29.99,settlement,2026-07-20,completed,Shopee
STL-20260020,ORD-20260020,ORD-20260020,299.7,299.7,14.99,settlement,2026-07-19,completed,Amazon
STL-20260021,ORD-20260021,ORD-20260021,149.9,149.9,7.5,settlement,2026-07-18,completed,eBay
STL-20260022,ORD-20260022,ORD-20260022,399.8,399.8,19.99,settlement,2026-07-17,completed,Shopify
STL-20260023,ORD-20260023,ORD-20260023,749.7,749.7,37.49,settlement,2026-07-16,completed,Shopee
STL-20260024,ORD-20260024,ORD-20260024,299.9,299.9,14.99,settlement,2026-07-15,completed,Amazon
STL-20260025,ORD-20260025,ORD-20260025,199.8,199.8,9.99,settlement,2026-07-14,completed,eBay
STL-20260026,ORD-20260026,ORD-20260026,449.7,449.7,22.49,settlement,2026-07-13,completed,Shopify
STL-20260027,ORD-20260027,ORD-20260027,199.9,199.9,10.0,settlement,2026-07-12,completed,Shopee
STL-20260028,ORD-20260028,ORD-20260028,499.8,499.8,24.99,settlement,2026-07-11,completed,Amazon
STL-20260029,ORD-20260029,ORD-20260029,899.7,899.7,44.98,settlement,2026-07-10,completed,eBay
STL-20260030,ORD-20260030,ORD-20260030,94.91,99.9,4.75,settlement,2026-08-08,completed,Shopify
STL-20260031,ORD-20260031,ORD-20260031,299.8,299.8,14.99,settlement,2026-08-07,completed,Shopee
STL-20260032,ORD-20260032,ORD-20260032,599.7,599.7,29.99,settlement,2026-08-06,completed,Amazon
STL-20260033,ORD-20260033,ORD-20260033,249.9,249.9,12.5,settlement,2026-08-05,completed,eBay
STL-20260034,ORD-20260034,ORD-20260034,599.8,599.8,29.99,settlement,2026-08-04,completed,Shopify
STL-20260035,ORD-20260035,ORD-20260035,299.7,299.7,14.99,settlement,2026-08-03,completed,Shopee
STL-20260036,ORD-20260036,ORD-20260036,149.9,149.9,7.5,settlement,2026-08-02,completed,Amazon
STL-20260037,ORD-20260037,ORD-20260037,399.8,399.8,19.99,settlement,2026-08-01,completed,eBay
STL-20260038,ORD-20260038,ORD-20260038,749.7,749.7,37.49,settlement,2026-07-31,completed,Shopify
STL-20260039,ORD-20260039,ORD-20260039,299.9,299.9,14.99,settlement,2026-07-30,completed,Shopee
STL-20260040,ORD-20260040,ORD-20260040,199.8,199.8,9.99,settlement,2026-07-29,completed,Amazon
